,expected_value,predicted_value
778,60984028,106150786.88
1909,17071230,18655867.0
927,24006726,62619894.879999995
1224,13401683,62843039.04
1258,31598308,54607616.32
2319,488872,17485001.02
1486,22359293,26254359.72
273,125531634,164161151.68
1311,80276912,57957392.480000004
2539,47277326,33277751.44
1500,71346930,36784339.32
1121,42615685,66202988.8
1800,26003149,51173518.32
1090,71347010,63897419.67999999
1828,12626905,38237545.16
165,118099659,104997787.68
798,98711404,63447788.4
808,25040293,58625756.639999986
2376,26049082,34676947.08
2189,25776062,15064105.719999999
2445,24792061,30163943.719999995
1870,34290142,28856566.72
644,33328051,62907298.56
2228,3074838,23904649.54
2497,83574831,30307150.52
1946,30324946,32910097.76
375,110416702,141027605.92
414,183405771,155061410.88
709,55994557,59498989.519999996
545,38509342,52468444.56
1639,10324441,21292762.400000002
1301,10956379,33397101.04
895,66002004,40736879.92
1045,24375436,35940877.480000004
1900,43601508,16472746.64
1361,16831505,34833272.239999995
232,190871240,111843843.35999998
2587,7267324,22844860.619999997
1325,61280963,51274635.919999994
1143,13838130,30552943.62
2595,8243880,6641982.529999999
119,292000866,174808943.03999996
769,363024263,191890456.64000002
1699,16123851,18277006.78
2030,37877959,27434945.2
1597,51533608,60090438.95999999
463,100169068,51613683.68
624,43982842,63685705.760000005
2592,13092000,24865132.939999998
2108,30628981,23477357.42
1797,34126138,88701189.76
1528,22494487,52310014.32
809,55747724,33640477.96
1617,25615792,29344150.16
1514,28751715,59292364.800000004
141,165230261,168327685.76
1974,45507053,47836673.28
691,93375151,57310265.04
1861,18843314,28737944.400000002
2601,6517198,5032569.674999999
950,46611204,51443032.0
740,22451,36445557.6
281,61656849,122415259.35999998
2209,4717455,23319603.319999997
2104,21468807,25915732.48
1315,23360779,37233609.68
1894,150056505,60504768.63999999
2048,20801344,31387292.0
1940,96471845,53024796.72
1765,20259297,27641658.56
2141,38916903,25787448.72
894,58336565,30803276.76
319,173005002,125395470.39999999
2664,2283276,4557302.6899999995
2068,9059588,12828588.780000001
184,132122995,149449574.08
836,81645152,80613426.72
2325,17544812,31096208.959999997
1359,14268533,35296362.48
2012,13005485,12176984.209999999
747,12065985,33407026.2
876,147637474,88643384.96
2330,58214,7175978.0600000005
1875,26096584,40394701.84
2027,35887263,62306477.279999994
0,309404152,393959973.12
344,67286731,63919717.68000001
1884,64255243,36819080.4
2153,1172769,6774006.7025
333,58867694,84666849.6
1413,42057340,55079705.83999999
219,35799026,165714845.11999997
1680,4710455,35999904.48
953,95308367,92203443.84
1386,22525921,37028446.84
547,336029560,114229691.84
1461,4463292,17575516.08
2255,10200000,8681953.78
1466,34604054,31693285.64
1196,191449475,149133195.83999997
2532,65069140,27978801.8
2230,90556401,30385653.119999997
2392,108662,14585754.305
2454,4693919,24758057.9
674,75573300,82011261.76
301,274299,27201520.439999998
1939,86049418,63268470.72
1817,15408822,19969506.64
652,210592590,154850700.16
2391,117190,7817015.897187499
83,362645141,154743696.8
2442,6857096,4834676.48
2377,17843379,17417050.72
716,56443482,56004056.64
79,161087183,110321435.03999998
2170,17016190,26079348.159999996
2464,17605861,12616377.069999998
527,66636385,80065032.16
2608,2912363,4472272.46
190,83024900,95722881.27999999
2235,23978402,22562046.400000002
409,26082914,61080401.519999996
2536,15152879,26459293.119999997
154,135381507,97665708.8
1371,70098138,131466501.60000001
2,73058679,231339970.88
1157,53337608,91676482.55999999
2491,1474508,12153333.780000001
2249,1987762,20828550.24
2612,703002,17484424.1625
1988,13922211,26436439.240000002
2666,7362100,6806391.859999999
1655,93571803,61430976.0
45,414984497,307283526.4
511,133103929,48050294.0
634,115603980,59775191.76
2567,1325073,9509148.86
121,227946274,201331992.0
671,148775460,90543380.24000001
2088,183088,7363701.784999999
315,101228120,78899337.04
1225,86208010,55931420.0
1454,37036404,32527570.759999998
2087,47811275,27295223.240000002
1420,35565975,33366073.32
566,62647540,78190992.64
2159,2035566,23315679.96
1243,59699513,10951145.1271875
982,106807667,80934623.36
2680,2199853,9766145.06
2134,91038276,25911425.68
2428,2344847,7456849.5
2527,1082044,31457914.439999998
639,85911262,28802051.16
1770,80050171,49102893.84
2184,54724272,43396678.88
73,124051759,91718759.91999999
2623,40041683,22224912.94
2299,7563670,18152739.919999998
1465,51097664,40174421.839999996
418,66941559,44461043.279999994
44,116593191,184503241.28000003
689,125603360,216204806.07999998
503,26000610,37586496.6
95,206360018,209761785.59999996
1006,15523168,56706586.8
2272,110175871,36992698.8
2161,46563158,61967499.519999996
310,97030725,114284026.24
218,113733726,92054877.92
500,66462600,96214403.84
2334,23078294,24412355.92
1524,2775593,30092794.68
2004,33565375,18492696.22
1702,58006147,35818811.839999996
984,93452056,67525817.92
1199,33037754,44925509.599999994
1987,1984743,11396524.530000001
1717,30059386,39149371.440000005
2580,25138292,25569774.32
226,186830669,175377583.36
698,75370763,39010064.919999994
1706,90636983,22165114.28
1882,8396942,24310557.759999998
2400,10460089,6820847.454999999
676,46975183,101350657.76
2413,23838,20528270.3
1992,9172810,8533850.57
441,55673333,66263040.15999999
270,155181732,104773748.32
646,28045540,61835229.76
1721,12784713,25054089.3
363,380838870,244080662.39999998
292,71017784,51149831.84
638,55637680,99710401.91999999
1650,71975611,58466204.16
117,63143812,117612741.60000001
955,56607223,58367136.48
255,67155742,81308753.76
2291,12570442,10077534.77
266,118311368,163124484.8
2559,25359200,28145360.799999997
1093,83906114,59163117.44
2479,20772796,5434982.97
2111,15483540,21412427.24
1242,56876365,64738797.599999994
460,91188905,69396710.48
1231,277313371,127657753.44
791,75530832,64387575.760000005
2649,3335839,9617259.75
770,80021740,44820377.760000005
1032,37035515,35748504.12
706,88200225,74469232.32
1472,45542421,28134953.0
369,176740650,174393490.55999997
2062,13034417,15589764.7
780,51774002,56649813.839999996
1001,20101861,37867569.32
1220,75367693,54926516.56
1214,37788228,23834819.72
2312,1754319,6029753.115
2383,8279017,12391035.16
1111,37752931,29500447.159999996
63,317011114,213718068.48
2020,47860214,28967714.880000003
308,261970615,134409793.92
2499,104007828,30450026.44
479,17593391,62914045.760000005
